Clase,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7,Caracteristica 8,Caracteristica 9,Caracteristica 10,Caracteristica 11,Caracteristica 12,Caracteristica 13,Caracteristica 14,Caracteristica 15,Caracteristica 16,Caracteristica 17,Caracteristica 18,Caracteristica 19,Caracteristica 20,Caracteristica 21,Caracteristica 22,Caracteristica 23,Caracteristica 24,Caracteristica 25,Caracteristica 26,Caracteristica 27,Caracteristica 28,Caracteristica 29,Caracteristica 30,Caracteristica 31,Caracteristica 32,Caracteristica 33,Caracteristica 34,Caracteristica 35,Caracteristica 36,Caracteristica 37,Caracteristica 38,Caracteristica 39,Caracteristica 40,Caracteristica 41,Caracteristica 42,Caracteristica 43,Caracteristica 44,Caracteristica 45,Caracteristica 46,Caracteristica 47,Caracteristica 48,Caracteristica 49,Caracteristica 50,Caracteristica 51,Caracteristica 52,Caracteristica 53,Caracteristica 54,Caracteristica 55,Caracteristica 56,Caracteristica 57,Caracteristica 58,Caracteristica 59,Caracteristica 60,Caracteristica 61,Caracteristica 62,Caracteristica 63,Caracteristica 64,Caracteristica 65,Caracteristica 66,Caracteristica 67,Caracteristica 68,Caracteristica 69,Caracteristica 70,Caracteristica 71,Caracteristica 72,Caracteristica 73,Caracteristica 74,Caracteristica 75,Caracteristica 76,Caracteristica 77,Caracteristica 78,Caracteristica 79,Caracteristica 80
1,55,54,54,53,53,53,52,51,51,51,50,49,49,48,47,46,44,42,40,39,37,34,25,23,22,22,22,23,23,22,22,22,22,22,22,22,22,22,46,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,48,48,49,49,48,48,48,48,48,48,48,48,48,48,48
1,55,54,52,52,52,52,51,51,50,50,49,49,49,48,47,46,45,44,42,41,39,37,33,30,24,23,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24,27,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
2,50,47,45,42,40,38,37,35,34,33,32,31,30,30,29,28,28,27,27,26,26,25,24,24,24,23,23,23,23,23,23,22,22,22,22,21,21,21,21,21,21,21,21,21,71,71,70,70,69,68,67,66,66,65,64,63,62,61,59,58,56,55,54,53,51,49,48,47,46,45,44,42,41,40,39,37,36,35,34,33
2,48,41,40,38,36,34,33,31,29,29,28,27,26,25,25,24,23,23,22,22,21,21,21,20,19,19,19,19,18,18,18,17,18,17,17,17,17,17,17,17,17,17,17,17,18,70,69,69,68,67,67,66,65,64,63,62,61,60,59,57,56,54,53,52,52,51,47,46,45,43,42,41,39,38,37,36,34,33,32,31
2,59,49,44,42,40,38,37,36,35,34,33,31,29,29,28,27,27,26,25,24,24,23,23,23,22,22,21,21,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,19,21,68,68,67,66,65,64,64,63,62,61,60,59,57,56,54,53,51,49,48,47,47,46,45,42,41,39,38,38,38,35,34,33,32,31,29
2,53,48,44,41,39,37,35,34,32,31,30,29,28,27,26,25,24,24,23,23,22,22,21,21,20,20,20,19,19,19,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,68,67,66,66,65,64,63,63,62,60,59,58,57,56,54,53,52,50,49,47,46,45,43,42,41,39,38,37,36,34,33,32,31,30
3,51,46,43,41,38,37,36,34,32,31,30,29,28,27,27,26,25,25,24,24,24,23,23,22,22,21,21,21,20,20,20,20,19,19,19,19,19,70,69,69,68,68,67,66,65,63,60,57,48,48,48,48,48,48,48,48,48,48,48,48,48,49,60,63,65,66,67,68,69,70,70,70,71,71,71,71,72,16,16,16
3,50,47,45,43,41,40,38,37,36,35,34,33,33,32,31,30,29,29,28,28,28,27,27,27,26,26,26,25,25,25,25,25,24,24,24,24,24,24,29,75,75,74,73,72,71,70,69,67,62,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,55,65,69,71,72,74,75,75,76,76,77,77,77,77,21,21
3,55,48,44,42,40,38,36,35,34,33,32,31,30,29,29,28,27,26,26,25,25,24,24,24,23,22,22,22,22,21,21,21,21,21,21,21,20,20,21,70,70,69,68,67,66,64,61,55,50,50,49,49,49,49,49,49,50,50,50,50,49,50,50,50,60,64,67,69,70,71,71,72,73,74,73,26,22,18,17,17
3,51,44,42,38,37,35,33,32,31,30,28,28,27,26,25,25,24,23,23,22,22,21,21,21,20,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,18,69,68,68,67,65,64,62,60,57,47,47,47,47,47,47,47,47,46,46,46,46,46,47,47,48,49,57,63,65,67,68,69,69,70,71,71,71,72,15
4,64,63,63,62,61,60,60,59,58,57,57,56,56,55,54,53,53,52,51,51,50,50,49,49,48,47,46,45,45,44,44,43,42,42,41,40,39,39,38,37,36,36,35,35,34,33,33,32,31,30,30,29,29,28,27,26,26,25,24,24,23,22,22,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19
4,61,60,60,59,59,58,56,56,56,55,54,54,53,52,52,51,50,49,49,48,48,47,46,45,45,44,43,42,41,41,42,41,39,38,38,37,37,36,35,34,34,35,32,31,31,30,29,29,28,27,26,26,25,25,24,23,22,22,21,21,20,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
4,66,60,59,58,58,58,57,56,55,54,53,53,52,52,51,51,50,49,48,47,47,46,46,46,45,44,43,42,41,40,40,39,39,38,37,37,36,35,34,33,33,32,32,31,30,30,29,28,27,27,26,26,25,24,23,23,22,21,21,20,19,19,18,17,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14
4,61,60,60,59,59,58,57,56,55,55,54,53,53,52,51,51,50,49,49,48,47,46,45,45,45,44,43,42,41,41,40,40,39,38,37,37,36,35,35,34,33,33,32,31,31,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,19,18,17,17,16,15,15,14,15,14,14,14,14,14,14,14,14,14,14
5,76,45,32,31,31,31,31,31,31,30,30,30,30,30,30,29,29,29,30,29,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,22,22,22,22,22,22,71,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,74
5,48,27,26,26,26,26,26,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,20,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,17,17,18,18,18,68,68,69,69,69,69,70,70,71,70,70,70,70,70,70,70,70
5,79,37,27,26,26,26,26,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,23,22,22,22,22,21,21,22,21,21,21,21,20,20,20,20,20,20,20,19,19,19,18,18,18,18,18,17,17,17,17,17,17,16,16,17,17,16,18,68,68,69,68,68,69,69,69,69,69,69,69,70,69,69,69,27,17
5,28,27,27,27,27,27,27,27,27,27,26,26,26,25,25,25,25,25,24,24,24,24,23,23,23,23,23,23,24,23,23,22,22,23,23,22,22,21,21,21,21,20,20,20,20,20,19,19,19,19,19,19,19,18,18,18,18,18,18,70,70,71,71,72,72,72,72,73,73,73,73,73,73,73,73,72,15,14,14,14
6,45,44,42,39,37,36,35,33,32,31,30,29,28,27,27,26,25,24,24,24,23,22,22,22,21,21,21,20,20,20,20,19,19,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,18,18,19,19,19,19,20,20,20,21,21
6,46,43,40,37,36,35,33,32,31,30,29,28,27,26,26,25,24,24,23,22,22,22,21,21,21,20,20,20,19,19,20,19,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,20,20,21,21,22,22
6,48,45,42,39,37,36,35,34,32,32,31,30,28,28,27,26,26,25,24,24,23,24,23,22,22,22,22,21,20,21,20,20,19,19,19,19,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,19,19,19,19,20,20,20,20,21,21,22,22
6,45,42,39,37,36,34,33,32,30,30,29,28,27,26,26,25,25,24,23,23,22,22,21,21,21,20,20,20,19,19,19,19,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,20,20,21,21,21,21,22,23,23
7,74,31,20,20,20,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,67,68,67,67,66,65,65,64,63,63,62,61,60,60,59,59,58,57,57,56,56,55,54,54,54,53,52,52,51,51,50,49,49,49,48,48,47,47,47,46,45,45,45,44,44,43,44,43,42,42,42,41,41,41,41,40,40,40,39,39
7,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,70,71,70,69,68,67,67,66,65,64,64,63,63,62,61,61,60,59,59,59,58,57,56,56,55,55,54,54,53,53,53,52,51,50,50,49,49,49,48,48,48,47,47,46,46,45,45,45,45,44,43,43,43,43,42,42,42,41,41,41
7,35,20,20,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,69,68,68,67,66,64,64,64,63,63,62,62,61,60,59,59,58,58,57,56,56,55,55,54,53,53,52,51,51,51,50,50,49,49,48,48,47,47,46,46,45,45,45,44,44,44,44,43,42,42,42,42,41,41,41,40,40,40,39
7,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,34,69,70,69,69,69,68,67,66,65,65,64,64,63,62,61,61,60,59,59,58,58,57,56,55,55,55,54,54,53,52,52,51,51,50,50,49,49,49,48,47,47,47,46,45,45,45,45,44,44,44,43,42,42,42,42,42,41,41,40,40
8,54,48,45,43,40,39,37,35,34,33,32,31,30,28,27,27,27,26,26,25,25,25,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,26,27,27,28,29,30,32,34,36,37,37,36,33,31,29,28,27,26,25,24,24,23,22,21,21,20,20,20,20,19,19,19,19,19,19,19,19
8,51,48,43,42,39,37,36,34,33,32,30,30,29,28,27,27,26,25,25,24,24,24,23,24,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,24,24,25,25,26,27,27,28,29,29,30,31,33,35,36,37,36,33,31,30,28,27,26,25,24,23,23,22,21,21,21,20,20,20,19,19,19,19,19,18,18
8,48,45,42,41,37,35,34,33,32,30,29,28,27,26,25,25,24,23,23,22,23,23,22,21,21,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,23,23,24,25,25,26,27,28,30,31,33,34,34,33,30,27,26,25,24,25,22,21,20,20,20,20,19,18,17,17,17,16,16,16,16,16,16,15
8,52,48,44,41,39,37,36,34,33,32,30,29,28,27,27,26,25,25,24,24,23,24,23,22,22,22,21,21,21,22,21,21,21,21,21,21,21,21,22,22,22,23,23,23,23,24,25,25,26,27,28,29,30,32,33,34,34,33,31,29,28,26,25,24,23,23,22,21,20,20,20,19,18,18,19,18,18,17,17,17
9,47,44,42,39,38,36,35,34,33,31,31,30,30,29,28,28,27,27,26,26,25,25,25,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,26,26,27,27,28,28,29,30,31,32,33,35,36,38,40,43,69,69,68,68,68,68,67,67,29,24,25,25,25,25,26,26,26,27
9,46,43,42,39,38,36,35,34,33,32,31,30,30,29,29,28,28,27,26,26,26,26,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,26,27,28,28,28,29,30,30,31,31,33,34,36,38,39,41,43,47,69,69,68,68,68,67,26,26,26,26,26,26,26,27,28,28
9,50,44,42,40,37,36,35,35,35,32,30,29,28,28,27,26,25,26,25,24,24,24,23,23,23,23,22,22,22,22,22,21,21,21,21,21,22,22,22,22,22,22,23,24,24,24,24,24,24,25,25,26,27,27,28,29,30,32,34,35,36,39,41,45,67,67,66,66,66,66,65,27,23,23,24,24,24,24,25,25
9,53,47,46,43,42,39,39,38,36,35,34,33,32,32,31,31,30,29,29,28,28,27,27,27,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,27,27,28,28,29,29,30,31,31,32,33,34,36,37,38,39,41,44,49,71,71,71,71,71,71,70,27,26,26,26,27
reversa,84,63,64,64,65,66,67,68,69,69,72,71,72,72,71,70,69,67,66,65,64,63,62,61,60,59,58,56,55,54,53,52,51,50,51,48,48,48,47,46,46,45,45,44,44,44,44,44,43,43,43,43,43,44,44,44,44,45,46,46,47,47,48,49,60,60,59,57,56,54,54,53,51,50,29,28,28,28,27,27
reversa,62,62,63,64,65,66,66,67,68,69,70,70,71,70,69,68,67,65,64,63,61,60,60,59,57,56,54,54,53,52,50,49,49,48,47,46,46,45,44,45,44,43,43,43,43,42,42,42,42,43,42,42,42,43,43,43,43,43,44,45,46,47,48,48,57,56,55,54,53,52,27,27,26,27,26,26,26,26,26,25
reversa,93,63,62,63,64,65,66,67,70,70,70,69,70,70,70,70,69,67,67,66,67,63,62,60,60,60,59,58,57,55,55,54,52,52,51,50,49,48,47,47,47,46,45,45,44,44,44,44,44,43,43,43,43,43,44,44,44,44,44,45,45,46,46,47,48,49,59,58,57,56,55,53,52,51,29,29,28,29,28,27
reversa,75,61,62,63,63,64,65,66,67,67,68,69,69,69,68,67,66,65,64,63,62,61,59,58,57,56,55,54,53,52,51,50,49,48,47,46,46,45,45,44,44,43,43,43,43,42,42,42,42,41,41,41,42,42,42,42,43,43,43,44,45,45,46,49,58,57,56,55,54,53,52,51,27,27,27,28,28,28,27,26
salto,73,68,64,61,58,56,54,52,50,49,48,47,46,44,43,42,41,40,39,38,37,36,35,34,33,32,32,31,31,30,30,29,28,28,27,27,26,26,25,25,24,24,24,23,23,24,23,22,22,21,21,21,21,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,21,21
salto,70,66,63,60,58,56,54,53,50,49,47,46,45,44,43,42,40,40,39,37,36,36,35,34,33,33,32,31,30,30,29,29,28,27,27,26,26,26,25,25,24,24,24,23,23,23,22,22,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20
salto,72,67,64,61,58,56,54,52,50,49,48,46,45,44,43,41,40,39,38,37,36,35,34,33,32,32,31,30,29,29,28,27,27,26,26,25,25,24,24,23,23,22,22,21,21,21,20,21,20,19,19,19,18,18,19,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18
salto,68,65,62,59,56,55,52,51,49,47,46,45,43,42,41,39,38,37,36,35,34,34,33,32,31,31,30,29,28,28,27,26,26,25,25,24,24,24,23,22,22,22,21,21,20,20,20,19,19,19,19,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17
